0.0100,0.0103,0.0118
0.0133,0.0166,0.0222
0.0249,0.0322,0.0406
0.0449,0.0569,0.0668
0.0747,0.0878,0.1041
0.1132,0.1221,0.1221
0.1222,0.1222,0.1223
0.1223,0.1225,0.1225
0.1226,0.1227,0.1230
0.1234,0.1234,0.1244
0.1255,0.1278,0.1331
0.1435,0.1554,0.1767
0.1953,0.2055,0.2329
0.2330,0.2330,0.2331
0.2331,0.2333,0.2334
0.2336,0.2341,0.2350
0.2368,0.2404,0.2404
0.2450,0.2450,0.2479
0.2479,0.2487,0.2487
0.2492,0.2492,0.2497
0.2500,0.2500,0.2506
0.2506,0.2513,0.2519
0.2532,0.2559,0.2614
0.2659,0.2781,0.2907
0.2907,0.2907,0.2907
0.2909,0.2910,0.2914
0.2920,0.2935,0.2965
0.3032,0.3161,0.3209
0.3239,0.3239,0.3424
0.3638,0.3674,0.3833
0.3833,0.4004,0.4083
0.4085,0.4085,0.4087
0.4087,0.4088,0.4090
0.4094,0.4102,0.4118
0.4151,0.4167,0.4167
0.4194,0.4194,0.4215
0.4215,0.4233,0.4249
0.4261,0.4261,0.4288
0.4296,0.4296,0.4323
0.4323,0.4364,0.4417
0.4475,0.4564,0.4564
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4572,0.4572,0.4572
0.4573,0.4574,0.4576
0.4579,0.4587,0.4593
0.4593,0.4619,0.4651
0.4718,0.4785,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4790,0.4790
0.4790,0.4791,0.4792
0.4794,0.4799,0.4809
0.4828,0.4873,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4878,0.4878
0.4878,0.4879,0.4881
0.4884,0.4890,0.4902
0.4927,0.4973,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4994,0.4994,0.4994
0.4995,0.4995,0.4996
0.4999,0.5004,0.5013
0.5032,0.5058,0.5128
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5129
0.5129,0.5129,0.5130
0.5130,0.5131,0.5132
0.5136,0.5142,0.5154
0.5178,0.5223,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5233,0.5233,0.5233
0.5234,0.5235,0.5236
0.5240,0.5244,0.5244
0.5248,0.5248,0.5252
0.5257,0.5266,0.5284
0.5310,0.5371,0.5373
0.5373,0.5373,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5375,0.5375,0.5375
0.5376,0.5376,0.5377
0.5377,0.5377,0.5379
0.5381,0.5385,0.5392
0.5408,0.5438,0.5489
0.5489,0.5489,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5492
0.5492,0.5492,0.5493
0.5493,0.5495,0.5498
0.5504,0.5515,0.5536
0.5579,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5587
0.5587,0.5587,0.5588
0.5588,0.5589,0.5591
0.5595,0.5603,0.5619
0.5651,0.5653,0.5653
0.5717,0.5739,0.5740
0.5740,0.5744,0.5744
0.5744,0.5744,0.5744
